Title,Price,Store,Condition
Used Epiphone Power Players SG lava red Electric Guitar,$149.99,"Bridgeton, MO",Good
Used Gibson high performance les paul Hot Pink Burst Solid Body Electric Guitar,"$2,499.99","Orange, CT",Great
Used 2021 Fender Tom Morello Soul Power Stratocaster Black Solid Body Electric Guitar,"$1,299.99","Orange, CT",Excellent
Used Alvarez RG260CESB 3 Color Sunburst Acoustic Electric Guitar,$199.99,"North Attleboro, MA",Good
Vintage 1970s Ibanez CONCORD Natural Acoustic Guitar,$399.99,"South Springfield, MO",Fair
Used Taylor 110E Natural Acoustic Electric Guitar,$449.99,"Nashville, TN",Good
Used Ibanez AF75G ROSE GOLD Hollow Body Electric Guitar,$379.99,"Gwinnett, GA",Great
Used Sterling by Music Man Sub AX3 Axis Black Solid Body Electric Guitar,$229.99,"Allentown, PA",Good
Used Epiphone Casino AQUA Hollow Body Electric Guitar,$519.99,"Scottsdale, AZ",Great
Used Fender Standard Stratocaster Shell Pink Solid Body Electric Guitar,$559.99,"Scottsdale, AZ",Great
Used Takamine GD93CE Natural Acoustic Electric Guitar,$464.99,"Scottsdale, AZ",Great
Used Washburn WI14 Silver Sparkle Solid Body Electric Guitar,$139.99,"South Austin, TX",Good
Used Gibson Les Paul Studio WHITE Solid Body Electric Guitar,$799.99,"Warwick, RI",Fair
Used Squier Affinity Stratocaster Black Solid Body Electric Guitar,$189.99,"Lewisville, TX",Great
Used Ibanez grg121sp BLUE metal chamelEON  Solid Body Electric Guitar,$229.99,"Canton, MI",Good
Used Mitchell MM100 Mini Black Solid Body Electric Guitar,$59.99,"Erie, PA",Good
Used 2024 Epiphone LES PAUL CUSTOM ADAM JONES SIGNATURE Antique Burst Solid Body Electric Guitar,"$1,699.99","Twin Cities, MN",Excellent
Used Harley Benton R458BK Black Solid Body Electric Guitar,$199.99,"North Charlotte, NC",Good
Used 2021 Squier Standard Telecaster 3 Color Sunburst Solid Body Electric Guitar,$239.99,"North Charlotte, NC",Excellent
Vintage 1966 Fender Mustang Daphne Blue Solid Body Electric Guitar,"$2,999.99","Cedar Rapids, IA",Good
Used Jackson JS32 Randy Rhoads BLACK Solid Body Electric Guitar,$279.99,"Williston, VT",Great
Used Gibson SG Standard Red Solid Body Electric Guitar,"$1,299.99","Manchester, CT",Good
Used Jackson PRO PLUS DINKY DKAQ GHOST BURST Solid Body Electric Guitar,$849.99,"Pittsburgh, PA",Great
Used Epiphone Les Paul Custom Alpine White Solid Body Electric Guitar,$464.99,"Monroeville, PA",Good
Used Firefly FFLP Blue Solid Body Electric Guitar,$379.99,"Gwinnett, GA",Good
Used Kingston S4T Black and Blue Solid Body Electric Guitar,$174.99,"South Springfield, MO",Good
Used PRS Angelus Standard SE Natural Acoustic Guitar,$574.99,"Seven Corners, VA",Great
Used Gretsch Guitars G9510 Jim Dandy frontier satin Acoustic Guitar,$129.99,"Chattanooga, TN",Great
Used Lucero LC230S Antique Natural Classical Acoustic Guitar,$239.99,"Allen Park, MI",Great
Used PRS DGT SE Gold Top Solid Body Electric Guitar,$624.99,"Alpharetta, GA",Great
Used 2021 Fender MALIBU PLAYER Natural Acoustic Guitar,$249.99,"Twin Cities, MN",Great
Used Takamine EG341SC Black Acoustic Electric Guitar,$349.99,"Cedar Rapids, IA",Good
Used Fender Special Edition Custom Telecaster FMT HH Amber Solid Body Electric Guitar,$649.99,"Hobart, IN",Great
Used Nash Guitars S-63 WHITE MEDIUM RELIC Solid Body Electric Guitar,"$1,949.99","N. Olmsted, OH",Excellent
Used Squier Affinity Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$149.99,"Sugar Land, TX",Great
Used Martin GPC16E Natural Acoustic Electric Guitar,"$1,399.99","Willowbrook, TX",Great
Used Epiphone Les Paul Traditional Pro IV Wine Red Solid Body Electric Guitar,$469.99,"Macon, GA",Excellent
Used Gibson J45 Standard Sunburst Acoustic Electric Guitar,"$2,399.99","Cedar Rapids, IA",Great
Used Fender 1952 American Vintage Telecaster Butterscotch Blonde Solid Body Electric Guitar,"$1,849.99","Cedar Rapids, IA",Great
Used Fender American Professional II Stratocaster Black Solid Body Electric Guitar,"$1,349.99","Cedar Rapids, IA",Great
Used Fender Player Stratocaster HSS Plus Top Blue Burst Solid Body Electric Guitar,$399.99,"Beaumont, TX",Fair
Used Ibanez RGR752AHBF BLACK Solid Body Electric Guitar,"$1,299.99","Denton, TX",Great
Used 2005 Fender American Special Stratocaster Candy Apple Red Solid Body Electric Guitar,"$1,399.99","Orange, CT",Great
Used Squier Telecaster Black Solid Body Electric Guitar,$169.99,"Mcallen, TX",Good
Used Jackson JS22-7 Dinky 7 String Black Solid Body Electric Guitar,$199.99,"Williston, VT",Great
Used Epiphone Les Paul Studio Black Solid Body Electric Guitar,$299.99,"Alpharetta, GA",Good
Used 2022 Kramer NITEV Black Solid Body Electric Guitar,$299.99,"Twin Cities, MN",Great
Used Ibanez rgixl7 IRON LABEL BLACK ON BLACK Solid Body Electric Guitar,$599.99,"Spartanburg, SC",Good
Used Washburn WG-587 Metallic Silver Solid Body Electric Guitar,$149.99,"Houston, TX",Great
